,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
Club Brugge,-104.48216390242601,-386.7094547442465,-80.51369200667624,43.15827535637696,10.184130858182726,-166.8064742811811,-130.77083585151277,-220.62573717210367,-298.9233302340258,44.8932039882818,-145.1036055989754,-57.1199067556978,-15.198546430538741,28.25125756065033,134.23606279690875,13.434401473844247,132.30887102669493,130.92722560136087,-158.93779214307898,83.60334103773063,-344.4615274939453
Anderlecht,9.666663342178083,-69.44940267983614,-141.2117953803353,-94.76067123744039,-65.39731976079624,25.903942858610307,-88.9107018952202,-15.458116396898049,-101.97595892446019,-15.801618383147954,87.23692256867092,83.95069184756133,-19.17986121511146,-104.95318324884502,-89.71595260628364,163.66134276758746,72.13988950535561,-172.56352259647892,129.14972305070873,-67.85151502550406,261.0461924354148
Ath Madrid,-154.862768626008,-145.1457505140006,-355.94718331738346,-1.7046376702557637,103.6169720158188,-297.70164221513403,-263.11223795610346,-225.69146906452335,-246.27307515053707,-129.88697114351027,-415.90537021923154,-90.06351432066499,-164.48454079113486,176.4667680284811,-69.23204913015284,62.18794616407425,-217.48261694979175,118.22677903495251,82.93682035653684,80.82678094269104,138.12676536505137
Sociedad,-427.13880987042626,-112.09642449441722,278.9182967973771,-103.43826901350957,-245.51442075039176,-328.39004110179155,-584.7873172103513,-271.2686738284392,-134.05635975602274,234.24168440425981,-43.86200610141776,433.02884448835795,423.0351333113946,42.634621746560924,388.0626527758161,-221.04976677619266,123.61655010189946,-299.660750127643,-194.00447069732152,-184.30219696619406,-53.57686000196314
Valencia,-472.3208205284419,20.647350771120713,-553.1484521205173,-287.58557535588915,-157.65693145785983,144.88842438969598,-82.13038453590879,-731.7443712377055,56.50255794352459,244.59780784174293,-233.78072178167375,-65.03534392164187,56.623402115029194,-413.94828028157957,283.1626909783804,-30.8308715129873,-332.6191860824151,66.91618948571653,289.96241697197587,500.61368085187735,335.54271235268135
Betis,-323.11640370808163,-95.47088394689406,-130.0433151356975,24.25777413687078,228.6050642893146,-322.34309318403484,-88.74913059121313,-322.323382259237,-271.02681910559477,29.221336279571332,-54.33801950378408,153.56317472882745,128.92527216401865,-822.5754214220841,-166.47690106513028,98.45271361518716,209.5774297288545,-85.47340807449345,-222.26039168735048,-144.6088678039337,75.30589430935872
Villarreal,-18.997258344146033,-93.27923972899774,-249.10610795116807,-19.457512636160146,283.47697662256326,-141.19185383363032,-116.67307245064495,134.27583777038126,-145.1437115924852,-58.122557060294454,-48.52226490287775,549.8569757825662,39.13033415309421,-9.436293417712648,-469.1405126485828,312.62750542331366,69.27454449852497,-126.53794036608494,-72.52148274466529,-86.93739722192535,-209.77857347978136
Real Madrid,-66.72261884377687,41.4890851054641,-69.68434797649755,-375.6089692396075,-205.7325261234106,-329.43807915830513,-143.82959571589632,-84.11179450505503,-194.9302137203783,-66.79487005018984,-131.7995553223445,-118.88569279729239,83.85253627598838,-204.38635043606644,-50.221865648162535,-178.25214069567363,-66.13488813337747,-255.32183400104464,-399.45718806119424,142.1185932078331,-60.15558779276638
Barcelona,-269.95510886869874,-131.30899299551038,-299.8613292921294,-200.75564499269092,-9.058810313918045,-47.72134056189488,48.180166653087426,-247.34754256544403,-148.78454237101062,31.752118895250476,-67.9272927971765,-122.74233967105461,23.62204811508269,-71.5641555246649,-161.35528782208678,-201.6087288726951,-64.4400040769503,53.56346141658585,-18.349307901587466,-1.092507838346421,-186.94346913670603
Sevilla,-24.000273028493467,-370.17030922134484,-19.87145680710536,-102.72152020343543,-114.54929690068232,134.73465535329365,23.637064288026707,-253.8440070590104,-426.4088959431467,-65.74331172595069,-119.81760019513878,-377.8745247002641,-188.09622281141824,-35.29535000779232,291.1526536653881,-58.258539001308804,234.84968526383375,66.05865724336437,-62.91170335636943,85.68309720952698,-155.30800679451318
