Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,OddH,OddD,OddA
2012/2013,Liga MX,10/03/2013,Guadalajara Chivas,Pachuca,1,0,H,,,,,,,,,,,,,,,2.26,3.13,3.11
2012/2013,Liga MX,16/03/2013,Chiapas,Monarcas,1,1,D,,,,,,,,,,,,,,,2.82,3.12,2.46
2012/2013,Liga MX,16/03/2013,Club America,Atl. San Luis,1,1,D,,,,,,,,,,,,,,,1.26,5.32,10.28
2012/2013,Liga MX,16/03/2013,Queretaro,Toluca,1,0,H,,,,,,,,,,,,,,,2.54,3.08,2.74
2012/2013,Liga MX,17/03/2013,Pachuca,Puebla,2,1,H,,,,,,,,,,,,,,,1.7,3.51,4.84
2012/2013,Liga MX,17/03/2013,U.A.N.L.- Tigres,Guadalajara Chivas,1,1,D,,,,,,,,,,,,,,,1.76,3.41,4.52
2012/2013,Liga MX,17/03/2013,Atlas,Santos Laguna,1,2,A,,,,,,,,,,,,,,,2.35,3.14,2.95
2012/2013,Liga MX,17/03/2013,Club Tijuana,Monterrey,2,2,D,,,,,,,,,,,,,,,1.92,3.34,3.85
2012/2013,Liga MX,17/03/2013,U.N.A.M.- Pumas,Club Leon,0,0,D,,,,,,,,,,,,,,,2.08,3.15,3.54
2012/2013,Liga MX,18/03/2013,Atlante,Cruz Azul,0,3,A,,,,,,,,,,,,,,,2.83,3.18,2.4
2012/2013,Liga MX,30/03/2013,Cruz Azul,Atlas,1,2,A,,,,,,,,,,,,,,,2.01,3.23,3.64
2012/2013,Liga MX,30/03/2013,Toluca,Club Tijuana,1,0,H,,,,,,,,,,,,,,,2.43,3.05,2.91
2012/2013,Liga MX,31/03/2013,Monarcas,Atlante,4,0,H,,,,,,,,,,,,,,,1.58,3.66,5.71
2012/2013,Liga MX,31/03/2013,Monterrey,U.N.A.M.- Pumas,3,0,H,,,,,,,,,,,,,,,2.17,3.17,3.26
2012/2013,Liga MX,31/03/2013,Santos Laguna,Queretaro,1,1,D,,,,,,,,,,,,,,,1.63,3.63,5.16
2012/2013,Liga MX,31/03/2013,Club Leon,Pachuca,0,0,D,,,,,,,,,,,,,,,1.98,3.34,3.63
2012/2013,Liga MX,31/03/2013,Atl. San Luis,Chiapas,3,0,H,,,,,,,,,,,,,,,2.36,3.13,2.95
2012/2013,Liga MX,31/03/2013,Puebla,U.A.N.L.- Tigres,1,2,A,,,,,,,,,,,,,,,3.32,3.16,2.16
2012/2013,Liga MX,01/04/2013,Guadalajara Chivas,Club America,0,2,A,,,,,,,,,,,,,,,2.93,3.1,2.37
2012/2013,Liga MX,06/04/2013,Chiapas,Guadalajara Chivas,3,2,H,,,,,,,,,,,,,,,2.54,3.11,2.72
2012/2013,Liga MX,07/04/2013,Club America,Puebla,1,1,D,,,,,,,,,,,,,,,1.37,4.37,8.3
2012/2013,Liga MX,07/04/2013,Queretaro,Cruz Azul,1,2,A,,,,,,,,,,,,,,,2.83,3.09,2.46
2012/2013,Liga MX,07/04/2013,Pachuca,U.N.A.M.- Pumas,1,2,A,,,,,,,,,,,,,,,2.22,3.13,3.18
2012/2013,Liga MX,07/04/2013,U.A.N.L.- Tigres,Club Leon,0,0,D,,,,,,,,,,,,,,,1.56,3.75,5.72
2012/2013,Liga MX,07/04/2013,Atlas,Monarcas,0,0,D,,,,,,,,,,,,,,,2.37,3.1,2.97
2012/2013,Liga MX,07/04/2013,Club Tijuana,Santos Laguna,0,0,D,,,,,,,,,,,,,,,1.98,3.31,3.69
2012/2013,Liga MX,07/04/2013,Toluca,Monterrey,1,0,H,,,,,,,,,,,,,,,2.22,3.17,3.15
2012/2013,Liga MX,08/04/2013,Atlante,Atl. San Luis,0,1,A,,,,,,,,,,,,,,,2.15,3.14,3.34
2012/2013,Liga MX,13/04/2013,Santos Laguna,Toluca,2,1,H,,,,,,,,,,,,,,,2.13,3.22,3.31
2012/2013,Liga MX,13/04/2013,Monarcas,Queretaro,1,0,H,,,,,,,,,,,,,,,1.61,3.66,5.34
2012/2013,Liga MX,13/04/2013,Cruz Azul,Club Tijuana,5,0,H,,,,,,,,,,,,,,,2.2,3.15,3.22
2012/2013,Liga MX,14/04/2013,Monterrey,Pachuca,2,0,H,,,,,,,,,,,,,,,1.84,3.41,4.07
2012/2013,Liga MX,14/04/2013,Club Leon,Club America,1,1,D,,,,,,,,,,,,,,,2.95,3.13,2.35
2012/2013,Liga MX,14/04/2013,Atl. San Luis,Atlas,2,2,D,,,,,,,,,,,,,,,2.79,3.09,2.52
2012/2013,Liga MX,14/04/2013,Puebla,Chiapas,1,2,A,,,,,,,,,,,,,,,1.96,3.31,3.71
2012/2013,Liga MX,14/04/2013,U.N.A.M.- Pumas,U.A.N.L.- Tigres,2,1,H,,,,,,,,,,,,,,,2.73,3.07,2.55
2012/2013,Liga MX,14/04/2013,Guadalajara Chivas,Atlante,1,2,A,,,,,,,,,,,,,,,1.71,3.49,4.73
2012/2013,Liga MX,20/04/2013,Chiapas,Club Leon,2,2,D,,,,,,,,,,,,,,,2.79,3.1,2.48
2012/2013,Liga MX,20/04/2013,Santos Laguna,Monterrey,1,0,H,,,,,,,,,,,,,,,2.2,3.14,3.24
2012/2013,Liga MX,20/04/2013,Queretaro,Atl. San Luis,2,1,H,,,,,,,,,,,,,,,2.21,3.16,3.18
2012/2013,Liga MX,21/04/2013,Atlas,Guadalajara Chivas,1,0,H,,,,,,,,,,,,,,,2.24,3.11,3.15
2012/2013,Liga MX,21/04/2013,Club Tijuana,Monarcas,1,2,A,,,,,,,,,,,,,,,2.04,3.22,3.53
2012/2013,Liga MX,21/04/2013,U.A.N.L.- Tigres,Pachuca,3,1,H,,,,,,,,,,,,,,,1.63,3.64,5.24
2012/2013,Liga MX,21/04/2013,Club America,U.N.A.M.- Pumas,1,0,H,,,,,,,,,,,,,,,1.81,3.39,4.3
2012/2013,Liga MX,21/04/2013,Toluca,Cruz Azul,0,2,A,,,,,,,,,,,,,,,2.53,3.14,2.7
2012/2013,Liga MX,21/04/2013,Atlante,Puebla,2,0,H,,,,,,,,,,,,,,,2.25,3.18,3.09
2012/2013,Liga MX,27/04/2013,Monarcas,Toluca,2,1,H,,,,,,,,,,,,,,,1.92,3.26,3.96
2012/2013,Liga MX,27/04/2013,Cruz Azul,Santos Laguna,1,0,H,,,,,,,,,,,,,,,1.59,3.75,5.41
2012/2013,Liga MX,28/04/2013,Pachuca,Club America,2,4,A,,,,,,,,,,,,,,,3.01,3.2,2.29
2012/2013,Liga MX,28/04/2013,U.A.N.L.- Tigres,Monterrey,0,1,A,,,,,,,,,,,,,,,1.87,3.32,4.04
2012/2013,Liga MX,28/04/2013,Club Leon,Atlante,1,0,H,,,,,,,,,,,,,,,1.58,3.79,5.4
2012/2013,Liga MX,28/04/2013,Atl. San Luis,Club Tijuana,1,0,H,,,,,,,,,,,,,,,2.42,3.12,2.86
2012/2013,Liga MX,28/04/2013,Puebla,Atlas,1,1,D,,,,,,,,,,,,,,,2.22,3.16,3.18
2012/2013,Liga MX,28/04/2013,U.N.A.M.- Pumas,Chiapas,3,0,H,,,,,,,,,,,,,,,1.63,3.58,5.21
2012/2013,Liga MX,28/04/2013,Guadalajara Chivas,Queretaro,1,2,A,,,,,,,,,,,,,,,2.15,3.13,3.3
2012/2013,Liga MX,04/05/2013,Chiapas,Pachuca,2,1,H,,,,,,,,,,,,,,,2.41,3.19,2.82
2012/2013,Liga MX,04/05/2013,Club Tijuana,Guadalajara Chivas,4,0,H,,,,,,,,,,,,,,,1.91,3.27,3.95
2012/2013,Liga MX,04/05/2013,Club America,U.A.N.L.- Tigres,0,2,A,,,,,,,,,,,,,,,2.17,3.18,3.28
2012/2013,Liga MX,05/05/2013,Monterrey,Cruz Azul,1,5,A,,,,,,,,,,,,,,,2.5,3.15,2.74
2012/2013,Liga MX,05/05/2013,Santos Laguna,Monarcas,1,2,A,,,,,,,,,,,,,,,2.22,3.16,3.18
2012/2013,Liga MX,05/05/2013,Atlas,Club Leon,0,1,A,,,,,,,,,,,,,,,1.85,3.33,4.19
2012/2013,Liga MX,05/05/2013,Queretaro,Puebla,2,3,A,,,,,,,,,,,,,,,2.05,3.28,3.49
2012/2013,Liga MX,05/05/2013,Toluca,Atl. San Luis,0,1,A,,,,,,,,,,,,,,,1.75,3.46,4.53
2012/2013,Liga MX,06/05/2013,Atlante,U.N.A.M.- Pumas,1,2,A,,,,,,,,,,,,,,,3.21,3.2,2.18
2013/2014,Liga MX,04/01/2014,Monarcas,Queretaro,0,1,A,,,,,,,,,,,,,,,1.63,3.69,5.13
2013/2014,Liga MX,04/01/2014,Santos Laguna,Guadalajara Chivas,1,1,D,,,,,,,,,,,,,,,1.71,3.57,4.73
2013/2014,Liga MX,04/01/2014,Club America,U.A.N.L.- Tigres,3,0,H,,,,,,,,,,,,,,,1.97,3.28,3.74
2013/2014,Liga MX,05/01/2014,Monterrey,Cruz Azul,0,0,D,,,,,,,,,,,,,,,2.58,3.13,2.68
2013/2014,Liga MX,05/01/2014,Pachuca,Toluca,0,1,A,,,,,,,,,,,,,,,2.65,3.09,2.66
2013/2014,Liga MX,05/01/2014,Atlas,Club Tijuana,0,0,D,,,,,,,,,,,,,,,2.35,3,3.13
2013/2014,Liga MX,05/01/2014,Chiapas,Veracruz,1,1,D,,,,,,,,,,,,,,,1.84,3.36,4.18
2013/2014,Liga MX,05/01/2014,U.N.A.M.- Pumas,Puebla,2,2,D,,,,,,,,,,,,,,,2.05,3.16,3.64
2013/2014,Liga MX,05/01/2014,Atlante,Club Leon,1,1,D,,,,,,,,,,,,,,,3.78,3.32,1.95
2013/2014,Liga MX,11/01/2014,Queretaro,U.N.A.M.- Pumas,1,0,H,,,,,,,,,,,,,,,2.31,3.05,3.13
2013/2014,Liga MX,11/01/2014,Club Tijuana,Club America,1,0,H,,,,,,,,,,,,,,,3.07,3.07,2.35
2013/2014,Liga MX,11/01/2014,Cruz Azul,Santos Laguna,2,1,H,,,,,,,,,,,,,,,1.93,3.31,3.84
2013/2014,Liga MX,11/01/2014,Veracruz,Atlante,2,1,H,,,,,,,,,,,,,,,2.22,3.16,3.21
2013/2014,Liga MX,12/01/2014,U.A.N.L.- Tigres,Pachuca,0,0,D,,,,,,,,,,,,,,,1.7,3.42,5.1
2013/2014,Liga MX,12/01/2014,Club Leon,Atlas,3,1,H,,,,,,,,,,,,,,,1.53,3.76,6.27
2013/2014,Liga MX,12/01/2014,Puebla,Monterrey,1,1,D,,,,,,,,,,,,,,,2.72,3.07,2.59
2013/2014,Liga MX,12/01/2014,Toluca,Monarcas,2,2,D,,,,,,,,,,,,,,,2.14,3.25,3.28
2013/2014,Liga MX,12/01/2014,Guadalajara Chivas,Chiapas,1,0,H,,,,,,,,,,,,,,,2.2,3.13,3.32
2013/2014,Liga MX,18/01/2014,Monarcas,U.A.N.L.- Tigres,2,0,H,,,,,,,,,,,,,,,2.5,3.08,2.84
2013/2014,Liga MX,18/01/2014,Santos Laguna,Puebla,0,0,D,,,,,,,,,,,,,,,1.59,3.71,5.56
2013/2014,Liga MX,18/01/2014,Club America,Club Leon,1,0,H,,,,,,,,,,,,,,,2.17,3.25,3.23
2013/2014,Liga MX,18/01/2014,Veracruz,Guadalajara Chivas,1,1,D,,,,,,,,,,,,,,,2.64,2.99,2.74
2013/2014,Liga MX,19/01/2014,Monterrey,Queretaro,3,1,H,,,,,,,,,,,,,,,1.81,3.33,4.4
2013/2014,Liga MX,19/01/2014,Pachuca,Club Tijuana,2,1,H,,,,,,,,,,,,,,,2.4,3.01,3.03
2013/2014,Liga MX,19/01/2014,Atlas,Atlante,0,1,A,,,,,,,,,,,,,,,1.95,3.25,3.81
2013/2014,Liga MX,19/01/2014,Chiapas,Cruz Azul,0,1,A,,,,,,,,,,,,,,,3.17,3.08,2.28
2013/2014,Liga MX,19/01/2014,U.N.A.M.- Pumas,Toluca,0,2,A,,,,,,,,,,,,,,,3.15,3.07,2.31
2013/2014,Liga MX,25/01/2014,Queretaro,Santos Laguna,0,0,D,,,,,,,,,,,,,,,2.75,3.07,2.56
2013/2014,Liga MX,25/01/2014,Club Tijuana,Monarcas,1,0,H,,,,,,,,,,,,,,,2.26,3.1,3.17
2013/2014,Liga MX,25/01/2014,Cruz Azul,Veracruz,4,0,H,,,,,,,,,,,,,,,1.5,3.83,6.57
2013/2014,Liga MX,26/01/2014,U.A.N.L.- Tigres,U.N.A.M.- Pumas,1,2,A,,,,,,,,,,,,,,,1.58,3.54,6.13
2013/2014,Liga MX,26/01/2014,Club Leon,Pachuca,1,3,A,,,,,,,,,,,,,,,1.56,3.73,5.91
2013/2014,Liga MX,26/01/2014,Atlas,Club America,1,2,A,,,,,,,,,,,,,,,4.02,3.23,1.92
2013/2014,Liga MX,26/01/2014,Puebla,Chiapas,2,3,A,,,,,,,,,,,,,,,2.33,3.03,3.11
2013/2014,Liga MX,26/01/2014,Toluca,Monterrey,2,0,H,,,,,,,,,,,,,,,2.04,3.24,3.56
2013/2014,Liga MX,26/01/2014,Atlante,Guadalajara Chivas,1,1,D,,,,,,,,,,,,,,,2.45,3.05,2.91
2013/2014,Liga MX,01/02/2014,Monarcas,Club Leon,0,0,D,,,,,,,,,,,,,,,2.63,3.14,2.64
2013/2014,Liga MX,01/02/2014,Club America,Atlante,1,0,H,,,,,,,,,,,,,,,1.41,4.4,7.1
2013/2014,Liga MX,01/02/2014,Santos Laguna,Toluca,2,0,H,,,,,,,,,,,,,,,2.25,3.18,3.12
2013/2014,Liga MX,01/02/2014,Veracruz,Puebla,0,1,A,,,,,,,,,,,,,,,2.09,3.18,3.52
2013/2014,Liga MX,02/02/2014,Guadalajara Chivas,Cruz Azul,0,2,A,,,,,,,,,,,,,,,3.22,3.02,2.3
2013/2014,Liga MX,02/02/2014,Monterrey,U.A.N.L.- Tigres,0,0,D,,,,,,,,,,,,,,,2.74,3.08,2.57
2013/2014,Liga MX,02/02/2014,Pachuca,Atlas,0,1,A,,,,,,,,,,,,,,,1.86,3.31,4.14
2013/2014,Liga MX,02/02/2014,Chiapas,Queretaro,1,0,H,,,,,,,,,,,,,,,2.07,3.14,3.61
2013/2014,Liga MX,02/02/2014,U.N.A.M.- Pumas,Club Tijuana,3,0,H,,,,,,,,,,,,,,,2.52,2.99,2.87
2013/2014,Liga MX,08/02/2014,Club Tijuana,Monterrey,2,1,H,,,,,,,,,,,,,,,1.94,3.17,4.06
2013/2014,Liga MX,08/02/2014,Club America,Pachuca,0,1,A,,,,,,,,,,,,,,,1.7,3.53,4.83
2013/2014,Liga MX,09/02/2014,U.A.N.L.- Tigres,Santos Laguna,1,1,D,,,,,,,,,,,,,,,2,3.23,3.7
2013/2014,Liga MX,09/02/2014,Club Leon,U.N.A.M.- Pumas,1,2,A,,,,,,,,,,,,,,,1.53,3.77,6.12
2013/2014,Liga MX,09/02/2014,Atlas,Monarcas,1,1,D,,,,,,,,,,,,,,,2.58,2.99,2.78
2013/2014,Liga MX,09/02/2014,Puebla,Guadalajara Chivas,0,1,A,,,,,,,,,,,,,,,2.52,2.98,2.88
2013/2014,Liga MX,09/02/2014,Toluca,Chiapas,2,0,H,,,,,,,,,,,,,,,1.72,3.48,4.85
2013/2014,Liga MX,09/02/2014,Atlante,Cruz Azul,1,4,A,,,,,,,,,,,,,,,3.26,3.19,2.19
2013/2014,Liga MX,09/02/2014,Queretaro,Veracruz,2,0,H,,,,,,,,,,,,,,,1.93,3.23,4.01
2013/2014,Liga MX,15/02/2014,Monarcas,Club America,1,0,H,,,,,,,,,,,,,,,3.22,3.14,2.23
2013/2014,Liga MX,15/02/2014,Santos Laguna,Club Tijuana,3,2,H,,,,,,,,,,,,,,,1.99,3.22,3.75
2013/2014,Liga MX,15/02/2014,Cruz Azul,Puebla,1,0,H,,,,,,,,,,,,,,,1.47,3.99,6.85
2013/2014,Liga MX,15/02/2014,Veracruz,Toluca,0,3,A,,,,,,,,,,,,,,,3.34,3.18,2.15
2013/2014,Liga MX,16/02/2014,Monterrey,Club Leon,0,2,A,,,,,,,,,,,,,,,2.48,3.17,2.76
2013/2014,Liga MX,16/02/2014,Pachuca,Atlante,0,1,A,,,,,,,,,,,,,,,1.94,3.32,3.86
2013/2014,Liga MX,16/02/2014,Chiapas,U.A.N.L.- Tigres,0,0,D,,,,,,,,,,,,,,,2.77,3.05,2.56
2013/2014,Liga MX,16/02/2014,U.N.A.M.- Pumas,Atlas,1,1,D,,,,,,,,,,,,,,,2.16,3.13,3.36
2013/2014,Liga MX,16/02/2014,Guadalajara Chivas,Queretaro,2,1,H,,,,,,,,,,,,,,,2.15,3.1,3.45
2013/2014,Liga MX,22/02/2014,Queretaro,Cruz Azul,1,3,A,,,,,,,,,,,,,,,3.61,3.17,2.05
2013/2014,Liga MX,22/02/2014,Club Tijuana,Chiapas,0,3,A,,,,,,,,,,,,,,,1.63,3.64,5.29
2013/2014,Liga MX,22/02/2014,Club America,U.N.A.M.- Pumas,1,3,A,,,,,,,,,,,,,,,1.56,3.7,5.88
2013/2014,Liga MX,23/02/2014,Pachuca,Monarcas,3,0,H,,,,,,,,,,,,,,,2.24,3.16,3.14
2013/2014,Liga MX,23/02/2014,U.A.N.L.- Tigres,Veracruz,1,0,H,,,,,,,,,,,,,,,1.54,3.8,6.01
2013/2014,Liga MX,23/02/2014,Club Leon,Santos Laguna,4,2,H,,,,,,,,,,,,,,,1.93,3.46,3.61
2013/2014,Liga MX,23/02/2014,Atlas,Monterrey,0,1,A,,,,,,,,,,,,,,,2.31,3.14,3.04
2013/2014,Liga MX,23/02/2014,Toluca,Guadalajara Chivas,1,0,H,,,,,,,,,,,,,,,1.78,3.38,4.49
2013/2014,Liga MX,23/02/2014,Atlante,Puebla,0,0,D,,,,,,,,,,,,,,,2.03,3.24,3.58
2013/2014,Liga MX,01/03/2014,Monarcas,Atlante,1,2,A,,,,,,,,,,,,,,,2.13,3.21,3.37
2013/2014,Liga MX,01/03/2014,Santos Laguna,Atlas,2,3,A,,,,,,,,,,,,,,,1.82,3.49,4.13
2013/2014,Liga MX,01/03/2014,Cruz Azul,Toluca,1,0,H,,,,,,,,,,,,,,,1.86,3.33,4.12
2013/2014,Liga MX,01/03/2014,Veracruz,Club Tijuana,1,1,D,,,,,,,,,,,,,,,2.76,2.98,2.61
2013/2014,Liga MX,02/03/2014,Monterrey,Club America,1,2,A,,,,,,,,,,,,,,,2.91,3.05,2.44
2013/2014,Liga MX,02/03/2014,Chiapas,Club Leon,0,3,A,,,,,,,,,,,,,,,3.12,3.23,2.24
2013/2014,Liga MX,02/03/2014,Puebla,Queretaro,1,0,H,,,,,,,,,,,,,,,2.3,3.07,3.13
2013/2014,Liga MX,02/03/2014,U.N.A.M.- Pumas,Pachuca,0,0,D,,,,,,,,,,,,,,,2.26,3.1,3.18
2013/2014,Liga MX,02/03/2014,Guadalajara Chivas,U.A.N.L.- Tigres,0,0,D,,,,,,,,,,,,,,,3.33,3,2.26
2013/2014,Liga MX,08/03/2014,Monarcas,U.N.A.M.- Pumas,3,1,H,,,,,,,,,,,,,,,2.27,3.1,3.14
2013/2014,Liga MX,08/03/2014,Club Leon,Veracruz,0,1,A,,,,,,,,,,,,,,,1.45,4.15,6.77
2013/2014,Liga MX,08/03/2014,Toluca,Puebla,3,0,H,,,,,,,,,,,,,,,1.64,3.56,5.28
2013/2014,Liga MX,08/03/2014,Club Tijuana,Guadalajara Chivas,2,0,H,,,,,,,,,,,,,,,2.05,3.13,3.69
2013/2014,Liga MX,08/03/2014,Club America,Santos Laguna,2,4,A,,,,,,,,,,,,,,,1.85,3.33,4.21
2013/2014,Liga MX,09/03/2014,Pachuca,Monterrey,2,0,H,,,,,,,,,,,,,,,2.24,3.14,3.19
2013/2014,Liga MX,09/03/2014,U.A.N.L.- Tigres,Cruz Azul,3,0,H,,,,,,,,,,,,,,,2.41,3.06,2.95
2013/2014,Liga MX,09/03/2014,Atlas,Chiapas,2,2,D,,,,,,,,,,,,,,,2.2,3.09,3.34
2013/2014,Liga MX,09/03/2014,Atlante,Queretaro,4,2,H,,,,,,,,,,,,,,,1.85,3.28,4.29
2013/2014,Liga MX,15/03/2014,Queretaro,Toluca,0,2,A,,,,,,,,,,,,,,,3.03,3.13,2.33
2013/2014,Liga MX,15/03/2014,Cruz Azul,Club Tijuana,2,1,H,,,,,,,,,,,,,,,1.58,3.6,5.91
2013/2014,Liga MX,15/03/2014,Veracruz,Atlas,0,1,A,,,,,,,,,,,,,,,2.31,3.08,3.13
2013/2014,Liga MX,16/03/2014,Monterrey,Monarcas,0,1,A,,,,,,,,,,,,,,,2.09,3.2,3.49
2013/2014,Liga MX,16/03/2014,Santos Laguna,Pachuca,3,1,H,,,,,,,,,,,,,,,1.86,3.4,4.07
2013/2014,Liga MX,16/03/2014,Chiapas,Club America,2,2,D,,,,,,,,,,,,,,,3.21,3.16,2.22
2013/2014,Liga MX,16/03/2014,Puebla,U.A.N.L.- Tigres,0,1,A,,,,,,,,,,,,,,,3.48,3.08,2.14
2013/2014,Liga MX,16/03/2014,U.N.A.M.- Pumas,Atlante,5,0,H,,,,,,,,,,,,,,,2.13,3.14,3.42
2013/2014,Liga MX,16/03/2014,Guadalajara Chivas,Club Leon,1,0,H,,,,,,,,,,,,,,,2.59,3.03,2.74
2013/2014,Liga MX,22/03/2014,Monarcas,Santos Laguna,2,2,D,,,,,,,,,,,,,,,2.35,3.19,2.96
2013/2014,Liga MX,22/03/2014,Club Tijuana,Puebla,3,1,H,,,,,,,,,,,,,,,1.57,3.7,5.87
2013/2014,Liga MX,22/03/2014,Club America,Veracruz,0,0,D,,,,,,,,,,,,,,,1.42,4.04,7.78
2013/2014,Liga MX,23/03/2014,Pachuca,Chiapas,2,0,H,,,,,,,,,,,,,,,1.95,3.25,3.88
2013/2014,Liga MX,23/03/2014,U.A.N.L.- Tigres,Queretaro,0,2,A,,,,,,,,,,,,,,,1.46,3.93,7.2
2013/2014,Liga MX,23/03/2014,Club Leon,Cruz Azul,0,0,D,,,,,,,,,,,,,,,2.28,3.13,3.11
2013/2014,Liga MX,23/03/2014,Atlas,Guadalajara Chivas,1,1,D,,,,,,,,,,,,,,,2.31,2.95,3.28
2013/2014,Liga MX,23/03/2014,U.N.A.M.- Pumas,Monterrey,1,2,A,,,,,,,,,,,,,,,2.1,3.16,3.5
2013/2014,Liga MX,23/03/2014,Atlante,Toluca,2,1,H,,,,,,,,,,,,,,,2.6,3.08,2.69
2013/2014,Liga MX,29/03/2014,Queretaro,Club Tijuana,2,1,H,,,,,,,,,,,,,,,2.44,3.07,2.92
2013/2014,Liga MX,29/03/2014,Santos Laguna,U.N.A.M.- Pumas,2,1,H,,,,,,,,,,,,,,,1.64,3.79,4.84
2013/2014,Liga MX,29/03/2014,Cruz Azul,Atlas,1,3,A,,,,,,,,,,,,,,,1.59,3.75,5.53
2013/2014,Liga MX,29/03/2014,Veracruz,Pachuca,3,1,H,,,,,,,,,,,,,,,2.62,3.05,2.71
2013/2014,Liga MX,30/03/2014,Monterrey,Atlante,3,2,H,,,,,,,,,,,,,,,2.12,3.19,3.41
2013/2014,Liga MX,30/03/2014,Toluca,U.A.N.L.- Tigres,2,1,H,,,,,,,,,,,,,,,2.27,3.08,3.2
2013/2014,Liga MX,30/03/2014,Chiapas,Monarcas,1,0,H,,,,,,,,,,,,,,,2.22,3.16,3.18
2013/2014,Liga MX,30/03/2014,Puebla,Club Leon,1,1,D,,,,,,,,,,,,,,,3.27,3.15,2.19
2013/2014,Liga MX,31/03/2014,Guadalajara Chivas,Club America,0,4,A,,,,,,,,,,,,,,,3.39,3.15,2.16
2013/2014,Liga MX,05/04/2014,Monarcas,Veracruz,1,1,D,,,,,,,,,,,,,,,1.96,3.2,3.91
2013/2014,Liga MX,05/04/2014,Club Tijuana,Toluca,3,1,H,,,,,,,,,,,,,,,2.01,3.22,3.69
2013/2014,Liga MX,06/04/2014,Club America,Cruz Azul,1,2,A,,,,,,,,,,,,,,,2.07,3.26,3.47
2013/2014,Liga MX,06/04/2014,Monterrey,Santos Laguna,2,2,D,,,,,,,,,,,,,,,2.65,3.12,2.61
2013/2014,Liga MX,06/04/2014,Pachuca,Guadalajara Chivas,1,3,A,,,,,,,,,,,,,,,1.92,3.17,4.13
2013/2014,Liga MX,06/04/2014,Club Leon,Queretaro,1,1,D,,,,,,,,,,,,,,,1.65,3.54,5.26
2013/2014,Liga MX,06/04/2014,Atlas,Puebla,0,0,D,,,,,,,,,,,,,,,1.91,3.22,4.08
2013/2014,Liga MX,06/04/2014,U.N.A.M.- Pumas,Chiapas,2,1,H,,,,,,,,,,,,,,,1.99,3.22,3.74
2013/2014,Liga MX,06/04/2014,Atlante,U.A.N.L.- Tigres,0,2,A,,,,,,,,,,,,,,,3.15,3.18,2.23
2013/2014,Liga MX,12/04/2014,Queretaro,Atlas,1,0,H,,,,,,,,,,,,,,,2.33,3.1,3.06
2013/2014,Liga MX,12/04/2014,Cruz Azul,Pachuca,2,2,D,,,,,,,,,,,,,,,1.91,3.33,3.95
2013/2014,Liga MX,12/04/2014,Veracruz,U.N.A.M.- Pumas,1,1,D,,,,,,,,,,,,,,,2.19,3.11,3.28
2013/2014,Liga MX,13/04/2014,U.A.N.L.- Tigres,Club Tijuana,1,1,D,,,,,,,,,,,,,,,1.79,3.33,4.59
2013/2014,Liga MX,13/04/2014,Chiapas,Monterrey,1,1,D,,,,,,,,,,,,,,,2.4,3.11,2.92
2013/2014,Liga MX,13/04/2014,Puebla,Club America,0,1,A,,,,,,,,,,,,,,,3.78,3.21,1.99
2013/2014,Liga MX,13/04/2014,Toluca,Club Leon,2,1,H,,,,,,,,,,,,,,,2.32,3.19,3
2013/2014,Liga MX,13/04/2014,Guadalajara Chivas,Monarcas,1,1,D,,,,,,,,,,,,,,,2.11,3.23,3.38
2013/2014,Liga MX,14/04/2014,Santos Laguna,Atlante,4,3,H,,,,,,,,,,,,,,,1.56,3.94,5.51
2013/2014,Liga MX,19/04/2014,Monarcas,Cruz Azul,5,1,H,,,,,,,,,,,,,,,2.42,3.19,2.84
2013/2014,Liga MX,19/04/2014,Club America,Queretaro,0,0,D,,,,,,,,,,,,,,,1.53,3.78,6.3
2013/2014,Liga MX,20/04/2014,Monterrey,Veracruz,4,1,H,,,,,,,,,,,,,,,1.94,3.35,3.78
2013/2014,Liga MX,20/04/2014,Pachuca,Puebla,1,2,A,,,,,,,,,,,,,,,1.53,3.77,6.27
2013/2014,Liga MX,20/04/2014,Santos Laguna,Chiapas,2,3,A,,,,,,,,,,,,,,,1.86,3.43,4.03
2013/2014,Liga MX,20/04/2014,Club Leon,U.A.N.L.- Tigres,3,0,H,,,,,,,,,,,,,,,2.99,3.17,2.33
2013/2014,Liga MX,20/04/2014,Atlas,Toluca,1,0,H,,,,,,,,,,,,,,,2.12,3.17,3.42
2013/2014,Liga MX,20/04/2014,U.N.A.M.- Pumas,Guadalajara Chivas,1,0,H,,,,,,,,,,,,,,,2.36,3.06,3.01
2013/2014,Liga MX,20/04/2014,Atlante,Club Tijuana,1,2,A,,,,,,,,,,,,,,,2.57,3.19,2.66
2013/2014,Liga MX,26/04/2014,Queretaro,Pachuca,3,4,A,,,,,,,,,,,,,,,2.75,3.17,2.51
2013/2014,Liga MX,26/04/2014,Club Tijuana,Club Leon,1,2,A,,,,,,,,,,,,,,,2.2,3.21,3.21
2013/2014,Liga MX,26/04/2014,Cruz Azul,U.N.A.M.- Pumas,2,1,H,,,,,,,,,,,,,,,1.91,3.3,3.95
2013/2014,Liga MX,26/04/2014,Veracruz,Santos Laguna,2,2,D,,,,,,,,,,,,,,,3.41,3.28,2.08
