,Club,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
29,Burnley,289,250.1901861,259,1.231640004,0.937435284,0.922687145,76,61,122,61.70634254,65.07115853,132.2224989,-124,-162.8962493,-6.417910152,45.31415946,0.976089859,0.894939319,262,268.4179102,386,431.3141595,141,150.306624,-203,-241.6671552,121,118.1112861,183,189.6470042,1.040110835,2694,2590.108582,1.184110779,4008,3384.818439,0.897579283,961,1070.65751,0.948946173,1398,1473.213171,0.790811475,2708,3424.330685,0.869118108,2851,3280.33667,0.898929666,431,479.4590907,0.841091347,351,417.3149579,0.238667931,7,29.32945353,0.893568096,21,23.50128669
30,Man United,1608,1575.728977,785,1.031207275,0.935383302,0.977784191,481,165,139,466.4435675,176.3982741,142.1581584,763,758.0187336,-17.53296863,22.51423502,0.988237115,0.96926444,1473,1490.532969,710,732.514235,796,832.3971605,-395,-409.3358337,677,658.1358081,315,323.1784013,1.019999176,11388,11164.7149,1.089704836,8102,7435.040876,1.142015956,5573,4879.966843,1.18809321,3542,2981.247573,0.909569373,8838,9716.686008,0.892996909,9308,10423.32835,0.992999508,1218,1226.586711,0.906780759,1357,1496.502862,0.743026712,48,64.60063843,0.646210785,58,89.75399566
31,Huddersfield,53,62.67734998,73,0.803043991,0.952491652,1.094284197,12,17,44,14.94314151,17.84792546,40.20893303,-77,-61.28734936,-22.07003709,6.357386451,0.689460735,0.951968027,49,71.07003709,126,132.3573865,24,39.81204585,-72,-74.26774944,25,31.25799124,54,58.08963701,1.056079844,746,706.3859841,0.925951572,921,994.6524504,0.783343165,226,288.5070173,0.783280501,340,434.0718295,0.81335228,788,968.8298896,0.805257506,734,911.5096654,0.814218583,112,137.5552,1.012319681,116,114.5883085,0.713169604,6,8.413146,0.952328467,6,6.300347208
32,Aston Villa,825,841.5509157,676,0.938529791,1.13764202,0.961484666,208,201,267,221.6232261,176.6812375,277.6955364,-144,-133.9876478,-21.83365747,11.82130531,0.973497493,0.987658131,802,823.8336575,946,957.8213053,424,462.5417322,-525,-536.6692394,378,361.2919253,421,421.1520659,1.006425816,7431,7383.554639,1.056220749,8508,8055.134312,1.111190982,3468,3120.975652,1.160801286,4020,3463.125039,0.950900953,8427,8862.121735,0.918845476,8027,8735.962911,0.936179548,1118,1194.215364,0.924578616,1063,1149.712942,0.626365031,45,71.84309108,0.928508753,63,67.85073355
33,Portsmouth,302,303.4828451,265,1.013540732,0.933249345,1.030609074,79,65,121,77.94457345,69.64912473,117.4063018,-83,-90.24704666,-13.11129871,20.35834538,0.957027817,0.9485066,292,305.1112987,375,395.3583454,169,171.0901544,-193,-221.6219594,123,134.0211443,182,173.736386,1.084654017,3046,2808.268768,0.994895521,3229,3245.566927,1.361007538,1610,1182.947159,1.223981696,1722,1406.883784,0.985109033,3436,3487.938783,0.881733802,3003,3405.789812,0.859816932,408,474.5196156,0.778593298,344,441.8224518,0.696231223,20,28.72608889,0.733931198,19,25.8879852
34,Fulham,633,641.6991912,560,0.974337703,1.027553204,1.000877445,161,150,249,165.2404495,145.9778428,248.7817077,-194,-192.0157884,-19.96283348,17.97862193,0.968951808,0.978468165,623,642.9628335,817,834.9786219,356,360.4700914,-449,-467.4728873,267,282.4927421,368,367.5057346,1.015997269,6025,5930.13405,1.036369629,7120,6870.135714,1.185536037,2952,2490.012877,1.198749708,3557,2967.258282,0.889438012,6557,7372.070803,0.92296016,6644,7198.577236,0.822148171,826,1004.685079,0.814705197,760,932.8527705,0.671132575,41,61.09076143,0.735037367,40,54.41900206
35,Derby,78,95.75394517,102,0.765662998,0.951367927,1.126461665,18,24,60,23.50903732,25.2268332,53.26412948,-104,-67.38979629,-23.89585299,-12.71435072,0.772194493,1.073798083,81,104.895853,185,172.2856493,44,58.6904202,-114,-96.74865651,37,46.20543279,71,75.53699277,0.817968348,831,1015.931731,0.989160221,1330,1344.574895,0.965149574,404,418.5879692,1.20856777,707,584.9899504,1.040003102,1400,1346.14983,0.979532054,1263,1289.391189,0.965886842,182,188.4278698,0.808432224,131,162.0420317,0.435036756,5,11.49328174,0.444020232,4,9.008598509
36,Middlesboro,49,49.89725066,38,0.978505979,0.995959361,1.022225251,13,10,15,13.28556011,10.04057032,14.67386957,4,-3.423828145,0.539007986,6.884820159,1.011356863,0.864697956,48,47.46099201,44,50.88482016,27,26.6428093,-25,-28.59680145,21,20.81818272,19,22.28801871,0.924590742,389,420.7266872,1.062704261,465,437.5629391,1.02532811,184,179.4547504,1.301327392,245,188.2693021,0.953897226,476,499.0055396,0.978947515,486,496.4515387,0.754365345,50,66.28088147,0.903865046,59,65.27523137,1.230467775,5,4.063495283,0.758415599,3,3.955614843
37,Crystal Palace,389,370.2600568,341,1.101523896,0.884893837,1.002699419,104,77,160,94.41465626,87.01608803,159.5692557,-119,-151.6463607,-2.210505226,34.85686596,0.994186102,0.934461942,378,380.2105052,497,531.856866,232,213.0167637,-292,-297.8541189,146,167.1937416,205,234.002747,1.065201605,3782,3550.501596,1.092787118,4685,4287.202809,0.878179589,1300,1480.33502,0.894651755,1658,1853.235061,0.895722702,4028,4496.927441,0.921123679,4011,4354.464109,0.899142953,557,619.4788031,1.019016015,575,564.2698363,0.425730143,16,37.58249273,0.861273369,28,32.51000322
38,Tottenham,1285,1273.418046,788,1.024246135,0.927040352,1.025057347,367,184,237,358.3123114,198.481112,231.2065766,281,283.8405234,42.01218667,-44.85271004,1.035127604,1.049172662,1238,1195.987813,957,912.14729,695,670.5088109,-547,-511.7869352,543,525.4790024,410,400.3603548,1.091962093,10666,9767.738337,1.076873708,9020,8376.09827,1.208629962,5077,4200.623979,1.201230746,4196,3493.084084,0.875545808,8847,10104.55412,0.899427948,9312,10353.24733,0.911179856,1195,1311.486412,0.962671308,1369,1422.084556,0.727113646,55,75.64154561,0.685560925,59,86.06091427
39,Liverpool,1458,1474.624032,780,0.983564919,1.024837871,1.015029813,423,189,168,430.0682057,184.4194144,165.5123798,622,604.0218514,11.03542227,6.942726319,1.007996888,0.991052527,1391,1379.964578,769,775.9427263,781,772.776904,-432,-434.4899186,610,607.1876737,337,341.4528077,1.108770406,11763,10609.04939,0.905809574,6924,7643.990749,1.181976226,5448,4609.229763,1.003251156,3112,3101.915189,0.852736303,8349,9790.834477,0.863899111,8921,10326.4373,0.818436845,1014,1238.947155,0.874317032,1282,1466.287345,0.62400403,42,67.30725764,0.881300237,78,88.50559286
40,West Ham,834,798.5152195,675,1.061196871,0.984178555,0.965884745,221,171,283,208.2554199,173.7489597,292.9956204,-141,-196.3478948,51.54933316,3.798561612,1.065132718,0.996154518,843,791.4506668,984,987.7985616,464,443.857368,-548,-553.8815612,379,347.5932989,436,433.9170004,1.082866838,7831,7231.72945,1.131068419,9271,8196.674794,1.116115207,3392,3039.11279,1.154943899,4078,3530.907435,0.868793011,7715,8880.135893,0.898292605,7820,8705.403962,0.950375365,1145,1204.787121,0.907725254,1031,1135.806231,0.654118399,48,73.38121061,0.811405099,54,66.55122092
41,Southampton,658,672.5573923,525,0.95013966,1.089884573,0.984379569,170,148,207,178.9210652,135.7941966,210.2847382,-74,-74.45260599,-5.407977614,5.8605836,0.991748685,0.99197027,650,655.4079776,724,729.8605836,352,368.0429919,-380,-409.598019,298,287.3649857,344,320.2625646,1.106959958,6436,5814.121778,1.003302316,6200,6179.593034,1.055905683,2597,2459.499975,0.993500785,2628,2645.191669,0.906403825,6224,6866.69653,0.865209314,5884,6800.666502,0.800422832,737,920.7633392,0.79339104,713,898.6741262,0.670861258,37,55.15298362,0.506214883,27,53.33703315
42,Chelsea,1553,1559.209349,782,0.998358141,0.977733351,1.032544949,460,173,149,460.7564971,176.9398577,144.3036452,711,742.571903,-51.22371775,19.6518147,0.965300844,0.973213704,1425,1476.223718,714,733.6518147,778,825.0981138,-393,-410.1061714,647,651.1256039,321,323.5456433,1.062376765,11736,11046.92835,0.994168648,7383,7426.305402,1.116841493,5395,4830.587003,1.098653317,3278,2983.652759,0.894163166,8665,9690.625075,0.909895969,9442,10377.01048,0.998982716,1219,1220.241332,0.928622507,1380,1486.072101,0.854536929,55,64.36234422,0.703161456,63,89.59535466
43,Bournemouth,211,214.001708,188,1.005324108,0.917012086,1.042091726,56,43,89,55.70342891,46.89142123,85.40514986,-86,-70.33276393,25.0937826,-40.76101867,1.116766201,1.142901291,240,214.9062174,326,285.2389813,128,120.3803651,-168,-159.68468,112,94.52585228,158,125.5543013,1.108774812,2202,1985.975851,1.102585842,2574,2334.512109,0.889749845,739,830.5705292,0.872936448,878,1005.800596,0.712447564,1761,2471.760855,0.908137584,2190,2411.528868,0.854530217,289,338.1975197,1.126634652,353,313.3225126,0.438294418,9,20.53414242,1.161132025,21,18.08579863
