Category: All categories

Week,World Cup: (Worldwide),Super Bowl: (Worldwide),Summer Olympic Games: (Worldwide),Olympic Games Beijing 2022: (Worldwide),ICC Cricket World Cup: (Worldwide)
2019-12-01,<1,<1,<1,<1,<1
2019-12-08,1,<1,<1,<1,<1
2019-12-15,1,<1,<1,<1,<1
2019-12-22,1,<1,<1,<1,<1
2019-12-29,1,1,<1,<1,<1
2020-01-05,<1,1,1,<1,<1
2020-01-12,<1,1,1,<1,<1
2020-01-19,<1,3,<1,<1,<1
2020-01-26,<1,4,1,<1,<1
2020-02-02,<1,14,1,<1,<1
2020-02-09,<1,<1,<1,<1,<1
2020-02-16,<1,<1,1,<1,<1
2020-02-23,<1,<1,1,<1,<1
2020-03-01,<1,<1,1,<1,<1
2020-03-08,<1,<1,1,<1,<1
2020-03-15,<1,<1,<1,<1,<1
2020-03-22,<1,<1,1,<1,<1
2020-03-29,1,<1,<1,<1,<1
2020-04-05,1,<1,<1,<1,<1
2020-04-12,1,<1,<1,<1,<1
2020-04-19,1,<1,<1,<1,<1
2020-04-26,1,<1,<1,<1,<1
2020-05-03,<1,<1,<1,<1,<1
2020-05-10,<1,<1,<1,<1,<1
2020-05-17,<1,<1,<1,<1,<1
2020-05-24,<1,<1,<1,<1,<1
2020-05-31,<1,<1,<1,<1,<1
2020-06-07,<1,<1,<1,<1,<1
2020-06-14,<1,<1,<1,<1,<1
2020-06-21,<1,<1,<1,<1,<1
2020-06-28,<1,<1,<1,<1,<1
2020-07-05,<1,<1,<1,<1,<1
2020-07-12,<1,<1,<1,<1,<1
2020-07-19,<1,<1,<1,<1,<1
2020-07-26,<1,<1,<1,<1,<1
2020-08-02,<1,<1,<1,<1,<1
2020-08-09,<1,<1,<1,<1,<1
2020-08-16,<1,<1,<1,<1,<1
2020-08-23,<1,<1,<1,<1,<1
2020-08-30,<1,<1,<1,<1,<1
2020-09-06,<1,<1,<1,<1,<1
2020-09-13,<1,<1,<1,<1,<1
2020-09-20,<1,<1,<1,<1,<1
2020-09-27,<1,<1,<1,<1,<1
2020-10-04,1,<1,<1,<1,<1
2020-10-11,1,<1,<1,<1,<1
2020-10-18,<1,<1,<1,<1,<1
2020-10-25,<1,<1,<1,<1,<1
2020-11-01,<1,<1,<1,<1,<1
2020-11-08,1,<1,<1,<1,<1
2020-11-15,1,<1,<1,<1,<1
2020-11-22,1,<1,<1,<1,<1
2020-11-29,<1,<1,<1,<1,<1
2020-12-06,1,<1,<1,<1,<1
2020-12-13,<1,<1,<1,<1,<1
2020-12-20,<1,<1,<1,<1,<1
2020-12-27,1,<1,<1,<1,<1
2021-01-03,<1,<1,<1,<1,<1
2021-01-10,<1,1,<1,<1,<1
2021-01-17,<1,1,<1,<1,<1
2021-01-24,<1,2,<1,<1,<1
2021-01-31,<1,3,<1,<1,<1
2021-02-07,1,12,<1,<1,<1
2021-02-14,1,<1,<1,<1,<1
2021-02-21,<1,<1,<1,<1,<1
2021-02-28,<1,<1,<1,<1,<1
2021-03-07,<1,<1,<1,<1,<1
2021-03-14,<1,<1,<1,<1,<1
2021-03-21,1,<1,<1,<1,<1
2021-03-28,2,<1,<1,<1,<1
2021-04-04,<1,<1,<1,<1,<1
2021-04-11,<1,<1,<1,<1,<1
2021-04-18,<1,<1,<1,<1,<1
2021-04-25,<1,<1,<1,<1,<1
2021-05-02,<1,<1,<1,<1,<1
2021-05-09,<1,<1,<1,<1,<1
2021-05-16,<1,<1,<1,<1,<1
2021-05-23,1,<1,<1,<1,<1
2021-05-30,1,<1,1,<1,<1
2021-06-06,2,<1,1,<1,<1
2021-06-13,2,<1,1,<1,<1
2021-06-20,1,<1,1,<1,<1
2021-06-27,2,<1,1,<1,<1
2021-07-04,1,<1,2,<1,<1
2021-07-11,2,<1,2,<1,<1
2021-07-18,1,<1,16,<1,<1
2021-07-25,1,<1,45,<1,<1
2021-08-01,1,<1,46,<1,<1
2021-08-08,<1,<1,9,<1,<1
2021-08-15,<1,<1,1,<1,<1
2021-08-22,1,<1,1,<1,<1
2021-08-29,2,<1,1,<1,<1
2021-09-05,2,<1,1,<1,<1
2021-09-12,1,<1,1,<1,<1
2021-09-19,1,<1,<1,<1,<1
2021-09-26,1,<1,<1,<1,<1
2021-10-03,1,<1,<1,<1,<1
2021-10-10,2,<1,<1,<1,<1
2021-10-17,1,<1,<1,<1,1
2021-10-24,1,<1,<1,<1,1
2021-10-31,1,<1,<1,<1,1
2021-11-07,3,<1,<1,<1,1
2021-11-14,4,<1,<1,<1,<1
2021-11-21,1,<1,<1,<1,<1
2021-11-28,1,<1,<1,<1,<1
2021-12-05,1,<1,<1,<1,<1
2021-12-12,1,<1,<1,<1,<1
2021-12-19,1,<1,<1,<1,<1
2021-12-26,1,<1,<1,<1,<1
2022-01-02,1,1,<1,<1,<1
2022-01-09,1,1,<1,<1,<1
2022-01-16,1,1,<1,<1,<1
2022-01-23,1,2,<1,<1,<1
2022-01-30,2,3,2,3,<1
2022-02-06,1,4,5,4,<1
2022-02-13,1,12,4,4,<1
2022-02-20,1,<1,1,1,<1
2022-02-27,1,<1,<1,<1,<1
2022-03-06,1,<1,<1,<1,<1
2022-03-13,1,<1,<1,<1,<1
2022-03-20,3,<1,<1,<1,<1
2022-03-27,6,<1,<1,<1,<1
2022-04-03,2,<1,<1,<1,<1
2022-04-10,1,<1,<1,<1,<1
2022-04-17,1,<1,<1,<1,<1
2022-04-24,1,<1,<1,<1,<1
2022-05-01,1,<1,<1,<1,<1
2022-05-08,1,<1,<1,<1,<1
2022-05-15,1,<1,<1,<1,<1
2022-05-22,1,<1,<1,<1,<1
2022-05-29,1,<1,<1,<1,<1
2022-06-05,2,<1,<1,<1,<1
2022-06-12,2,<1,<1,<1,<1
2022-06-19,0,0,0,0,0
