timestamp,date_GMT,status,date,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627837200,Aug 01 2021 - 5:00pm,complete,01/08/2021,N/A,Puebla Women,Mazatlán W,N/A,3,3,0,1.24,0.18,2,0,2,0,0,0,"58,86",,6,2,1,0,0,0,0,1,0,0,26,13,10,4,16,9,-1,-1,47,53,3.33,1.61,3,50,100,50,50,0,0,100,50,100,3,0,1.61,3.6,4.05,1.26,1.71,2.7,4.8,1.74,1.87,Estadio Cuauhtémoc (Puebla)
1627941600,Aug 02 2021 - 10:00pm,complete,02/08/2021,N/A,Pumas UNAM Women,Monterrey Women,N/A,3,1,1,1.72,1.95,0,3,3,0,0,0,,"48,62,83",1,3,3,0,1,0,0,3,0,1,6,6,2,5,4,1,12,16,53,47,0.83,1.03,1,50,50,0,0,0,50,50,0,0,8,0,3.15,3.35,1.8,1.22,1.65,2.5,4.15,1.62,1.95,Estadio Olímpico de Universitario (Ciudad de México (D.F.))
1627948800,Aug 03 2021 - 12:00am,complete,03/08/2021,N/A,Guadalajara Women,León Women,N/A,3,3,0,2.43,0.76,2,1,3,1,1,0,"35,86",88,4,5,1,0,4,0,0,1,2,2,14,3,6,3,8,0,-1,-1,57,43,1.74,0.66,4.5,50,100,100,100,50,50,100,100,100,8,1,1.15,6.25,10.75,1.12,1.38,1.95,3.15,1.95,1.62,Estadio AKRON (Zapopan)
1627948800,Aug 03 2021 - 12:00am,complete,03/08/2021,N/A,Tigres UANL Women,Necaxa Women,N/A,3,3,1,2.64,0.88,8,1,9,4,4,0,"9,22,4501,4503,52,54,64,79",80,8,1,0,0,0,0,0,0,0,0,30,4,18,3,12,1,11,7,73,27,3.94,0.68,1,0,50,0,0,0,0,50,0,50,13,0,1.04,13,27,1.07,1.24,1.56,2.3,2.5,1.38,Estadio Universitario de Nuevo León (San Nicolás de los Garza)
1627956000,Aug 03 2021 - 2:00am,complete,03/08/2021,N/A,Juárez W,Atlas Women,N/A,3,0,3,0.47,1.4,0,3,3,2,0,2,,"25,40,71",4,4,0,0,0,0,0,0,0,0,14,9,10,4,4,5,7,15,46,54,2.05,1.3,3,50,50,50,50,50,50,50,50,100,8,4,7.7,5,1.33,0,0,0,0,0,0,Estadio Olímpico Benito Juárez (Ciudad Juárez)
1627956000,Aug 03 2021 - 2:00am,complete,03/08/2021,N/A,Santos Laguna Women,Tijuana Women,N/A,3,0,1,1.5,1.11,0,0,0,0,0,0,,,13,2,-1,-1,-1,-1,-1,-1,-1,-1,13,4,9,3,4,1,-1,-1,56,44,2.23,0.81,0,0,0,0,0,0,0,0,0,0,2,0,2.05,3.75,2.75,1.19,1.7,2.55,5.5,1.6,2.2,Estadio Nuevo Corona (Torreón)
1628355600,Aug 07 2021 - 5:00pm,complete,07/08/2021,N/A,Atlas Women,Tigres UANL Women,N/A,4,3,3,2.1,2.18,0,4,4,3,0,3,,"15,33,44,87",3,3,4,1,1,0,2,3,0,1,5,14,0,8,5,6,18,13,46,54,0.61,1.84,2.5,50,100,50,0,0,0,100,50,100,15,1,3.6,3.3,1.69,1.19,1.54,2.3,3.65,1.54,2.1,Estadio CECAF (Tonalá)
1628355600,Aug 07 2021 - 5:00pm,complete,07/08/2021,N/A,Cruz Azul Women,Pumas UNAM Women,N/A,4,1,0,1.39,0.72,1,1,2,1,1,0,36,90,1,1,2,0,2,0,0,2,0,2,7,17,3,5,4,12,18,13,40,60,1.03,2.09,2.5,100,100,50,0,0,50,100,0,100,8,2,2.5,3.05,2.25,1.28,1.77,2.75,4.75,1.67,1.91,Instalaciones la Noria Cancha 3 (Ciudad de México)
1628460000,Aug 08 2021 - 10:00pm,complete,08/08/2021,N/A,Atlético San Luis W,Pachuca Women,N/A,4,3,3,1.29,1.65,1,1,2,1,0,1,9003,17,2,7,1,0,1,0,1,0,0,1,5,13,4,5,1,8,-1,-1,50,50,0.83,1.69,3,100,100,100,0,0,50,50,50,100,5,2,4.19,3.9,1.6,1.24,1.73,2.6,4.5,0,0,Estadio Alfonso Lastras Ramírez (San Luis Potosí)
1628546400,Aug 09 2021 - 10:00pm,complete,9/08/2021,N/A,Necaxa Women,Santos Laguna Women,N/A,4,0,1.5,1.06,1.17,0,3,3,1,0,1,,"21,52,83",2,6,1,0,2,0,0,1,1,1,3,19,3,10,0,9,11,20,45,55,0.72,2.51,2.75,75,100,75,0,0,25,50,50,100,5.5,2,3.65,3.5,1.65,1.21,1.61,2.45,4.05,1.67,1.91,Estadio Victoria de Aguascalientes (Aguascalientes)
