,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,HO,AO,OddH,OddD,OddA,Margin,ProbH,ProbD,ProbA
33,2000-2001,E0,2000-09-06,Charlton,Southampton,1.0,1.0,D,0.0,0.0,D,Mark Halsey,8.0,11.0,6.0,3.0,14.0,16.0,3.0,3.0,1.0,0.0,4.0,3.0,2.0,3.1,3.2,0.04502688172043009,0.45497311827956993,0.27755376344086025,0.26747311827956993
34,2000-2001,E0,2000-09-06,Chelsea,Arsenal,2.0,2.0,D,1.0,0.0,H,Mike Riley,12.0,13.0,5.0,5.0,16.0,22.0,3.0,1.0,0.0,0.0,2.0,2.0,2.3,3.1,2.8,0.03816870366659993,0.3966139050290523,0.2844119414946904,0.31897415347625724
35,2000-2001,E0,2000-09-06,Coventry,Newcastle,0.0,2.0,A,0.0,1.0,A,Alan Wiley,13.0,13.0,3.0,6.0,11.0,18.0,1.0,1.0,0.0,0.0,10.0,3.0,2.4,3.1,2.6,0.04128756548111386,0.37537910118555284,0.28129307968017647,0.34332781913427074
36,2000-2001,E0,2000-09-06,Derby,Middlesbrough,3.0,3.0,D,0.0,1.0,A,Rob Styles,9.0,5.0,5.0,4.0,8.0,10.0,3.0,2.0,0.0,0.0,3.0,5.0,2.4,3.1,2.6,0.04128756548111386,0.37537910118555284,0.28129307968017647,0.34332781913427074
37,2000-2001,E0,2000-09-06,Leicester,Ipswich,2.0,1.0,H,0.0,0.0,D,Paul Taylor,12.0,7.0,6.0,3.0,12.0,13.0,1.0,1.0,0.0,0.0,3.0,0.0,1.7,3.4,4.15,0.0411055988660524,0.5471296952515947,0.2530120481927711,0.19985825655563433
38,2000-2001,E0,2000-09-06,Liverpool,Aston Villa,3.0,1.0,H,3.0,0.0,H,Neale Barry,11.0,9.0,7.0,4.0,13.0,7.0,0.0,2.0,0.0,0.0,4.0,3.0,1.66,3.4,4.5,0.039583169278420836,0.562826469275796,0.2545344777804027,0.18263905294380137
39,2000-2001,E0,2000-09-09,Bradford,Arsenal,1.0,1.0,D,1.0,0.0,H,Alan Wiley,9.0,18.0,5.0,11.0,17.0,13.0,0.0,2.0,0.0,0.0,4.0,7.0,4.6,3.4,1.6,0.04550298380221651,0.1718883205456096,0.24861466325660703,0.5794970161977835
40,2000-2001,E0,2000-09-09,Coventry,Leeds,0.0,0.0,D,0.0,0.0,D,Paul Durkin,9.0,11.0,1.0,5.0,15.0,14.0,2.0,2.0,0.0,0.0,3.0,10.0,3.05,3.2,2.1,0.038853109549830865,0.2890157429091856,0.27364689045016916,0.4373373666406453
41,2000-2001,E0,2000-09-09,Ipswich,Aston Villa,1.0,2.0,A,0.0,1.0,A,Andy D'Urso,15.0,5.0,5.0,2.0,9.0,13.0,1.0,3.0,0.0,0.0,4.0,3.0,2.65,3.2,2.3,0.04154703308722999,0.33581145747880775,0.27095296691277,0.3932355756084222
42,2000-2001,E0,2000-09-09,Leicester,Southampton,1.0,0.0,H,0.0,0.0,D,Mike Dean,17.0,9.0,6.0,5.0,6.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,1.71,3.4,4.2,0.039002735597162864,0.545792586040264,0.25511491146166065,0.19909250249807522
43,2000-2001,E0,2000-09-09,Liverpool,Man City,3.0,2.0,H,1.0,0.0,H,Graham Barber,14.0,9.0,8.0,7.0,17.0,17.0,3.0,4.0,0.0,0.0,3.0,5.0,1.3,3.9,9.2,0.044778892604979546,0.7244518766257896,0.2116313638052769,0.0639167595689335
44,2000-2001,E0,2000-09-09,Man United,Sunderland,3.0,0.0,H,1.0,0.0,H,Neale Barry,15.0,5.0,7.0,1.0,18.0,14.0,1.0,3.0,0.0,0.0,3.0,6.0,1.25,4.1,9.0,0.05167118337850048,0.7483288166214995,0.19223125564588978,0.05943992773261062
